employee_id,name,salary,manager_id,department_id
133,Employee_133,129135,68,7
134,Employee_134,75222,471,9
135,Employee_135,117373,103,16
136,Employee_136,119575,757,20
137,Employee_137,136354,160,11
138,Employee_138,124651,199,12
139,Employee_139,103335,215,15
140,Employee_140,50965,945,18
141,Employee_141,64538,211,19
142,Employee_142,148066,507,16
143,Employee_143,110592,15,15
144,Employee_144,138018,497,5
145,Employee_145,48110,883,11
146,Employee_146,119309,331,15
147,Employee_147,67266,716,18
148,Employee_148,92992,876,13
149,Employee_149,122948,550,4
150,Employee_150,138806,600,17
151,Employee_151,46910,941,4
152,Employee_152,130982,255,16
153,Employee_153,40206,991,15
154,Employee_154,127054,765,14
155,Employee_155,127897,727,12
156,Employee_156,63419,879,3
157,Employee_157,90636,814,10
158,Employee_158,90015,171,8
159,Employee_159,147059,648,6
160,Employee_160,94268,999,14
161,Employee_161,127939,497,17
162,Employee_162,58141,470,19
163,Employee_163,120356,383,16
164,Employee_164,145878,689,15
165,Employee_165,111910,588,15
166,Employee_166,96044,699,1
167,Employee_167,107214,506,12
168,Employee_168,73827,991,10
169,Employee_169,95820,526,14
170,Employee_170,102623,803,10
171,Employee_171,121734,830,10
172,Employee_172,115450,324,20
173,Employee_173,133426,213,11
174,Employee_174,62299,207,16
175,Employee_175,83585,168,9
176,Employee_176,149225,329,15
177,Employee_177,104044,279,14
178,Employee_178,82557,977,19
179,Employee_179,89080,304,9
180,Employee_180,149556,145,4
181,Employee_181,42693,774,7
182,Employee_182,135003,515,8
183,Employee_183,135259,89,8
184,Employee_184,109163,452,19
185,Employee_185,65939,59,15
186,Employee_186,88925,310,16
187,Employee_187,82941,527,9
188,Employee_188,61834,226,12
189,Employee_189,58047,473,16
190,Employee_190,66105,977,4
191,Employee_191,115766,540,5
192,Employee_192,55707,662,8
193,Employee_193,61976,756,1
194,Employee_194,84262,781,6
195,Employee_195,63776,78,15
196,Employee_196,70080,432,4
197,Employee_197,106842,800,11
198,Employee_198,101373,152,5
199,Employee_199,46776,788,18
200,Employee_200,132787,400,15
201,Employee_201,95016,278,18
202,Employee_202,49474,56,20
203,Employee_203,145830,976,13
204,Employee_204,98053,185,5
205,Employee_205,61959,397,1
206,Employee_206,45530,604,18
207,Employee_207,134856,787,14
208,Employee_208,43748,157,5
209,Employee_209,137504,786,6
210,Employee_210,138098,692,16
211,Employee_211,53545,358,12
212,Employee_212,106199,439,20
213,Employee_213,74766,588,18
214,Employee_214,113530,465,2
215,Employee_215,133557,662,13
216,Employee_216,101087,445,17
217,Employee_217,135839,749,17
218,Employee_218,108840,800,16
219,Employee_219,94384,742,18
220,Employee_220,91005,487,8
221,Employee_221,86576,529,3
222,Employee_222,79353,72,17
223,Employee_223,102003,928,18
224,Employee_224,123211,927,6
225,Employee_225,92733,700,8
226,Employee_226,105318,949,13
227,Employee_227,149953,16,8
228,Employee_228,129474,530,19
229,Employee_229,63664,730,6
230,Employee_230,107172,325,15
231,Employee_231,125616,994,10
232,Employee_232,133264,631,17
233,Employee_233,66736,612,1
234,Employee_234,134209,545,7
235,Employee_235,143041,595,13
236,Employee_236,40854,920,3
237,Employee_237,130084,707,19
238,Employee_238,78623,841,15
239,Employee_239,47392,201,5
240,Employee_240,95680,343,11
241,Employee_241,86717,852,18
242,Employee_242,127092,522,3
243,Employee_243,90859,858,6
244,Employee_244,144095,399,3
245,Employee_245,66309,217,5
246,Employee_246,127455,444,9
247,Employee_247,103734,764,19
248,Employee_248,110467,221,13
249,Employee_249,92662,382,6
250,Employee_250,138506,880,11
251,Employee_251,149751,591,14
252,Employee_252,52688,6,6
253,Employee_253,65342,271,6
254,Employee_254,77157,738,17
255,Employee_255,107863,15,11
256,Employee_256,146308,423,15
257,Employee_257,92083,523,9
258,Employee_258,146081,802,17
259,Employee_259,105733,752,7
260,Employee_260,129045,20,7
261,Employee_261,74698,689,1
262,Employee_262,120623,938,8
263,Employee_263,62671,227,5
264,Employee_264,65184,784,19
265,Employee_265,133384,287,8
266,Employee_266,82107,808,17
267,Employee_267,126202,133,19
268,Employee_268,149893,983,12
269,Employee_269,91663,282,15
270,Employee_270,55708,403,4
271,Employee_271,131906,664,12
272,Employee_272,89811,65,13
273,Employee_273,42811,648,14
274,Employee_274,96250,603,5
275,Employee_275,112082,436,16
276,Employee_276,74754,828,7
277,Employee_277,135742,933,15
278,Employee_278,146642,258,13
279,Employee_279,51411,979,16
280,Employee_280,42911,965,12
281,Employee_281,107270,102,7
282,Employee_282,123763,992,16
283,Employee_283,48680,566,13
284,Employee_284,124896,768,3
285,Employee_285,123879,100,15
286,Employee_286,111295,197,3
287,Employee_287,128614,812,7
288,Employee_288,140689,225,18
289,Employee_289,51111,942,14
290,Employee_290,77504,462,18
291,Employee_291,41802,236,19
292,Employee_292,48155,25,14
293,Employee_293,113656,120,20
294,Employee_294,79384,909,6
295,Employee_295,87254,505,8
296,Employee_296,61918,181,7
297,Employee_297,125981,710,20
298,Employee_298,100713,813,18
299,Employee_299,70306,766,18
300,Employee_300,56646,633,15
301,Employee_301,86843,542,20
302,Employee_302,136601,983,19
303,Employee_303,130735,314,2
304,Employee_304,147512,990,8
305,Employee_305,56371,796,11
306,Employee_306,117371,617,18
307,Employee_307,42049,735,13
308,Employee_308,71616,272,9
309,Employee_309,143727,909,9
310,Employee_310,60932,231,17
311,Employee_311,69855,419,7
312,Employee_312,101434,767,9
313,Employee_313,112694,441,1
314,Employee_314,83016,495,2
315,Employee_315,47400,23,4
316,Employee_316,82642,108,14
317,Employee_317,55151,702,4
318,Employee_318,91407,501,2
319,Employee_319,106690,858,8
320,Employee_320,44499,24,18
321,Employee_321,46295,186,19
322,Employee_322,99040,287,14
323,Employee_323,52183,627,20
324,Employee_324,69299,337,10
325,Employee_325,52874,877,17
326,Employee_326,72711,913,8
327,Employee_327,45539,36,14
328,Employee_328,147941,793,8
329,Employee_329,93351,136,5
330,Employee_330,101267,507,16
331,Employee_331,88354,226,8
332,Employee_332,42557,319,10
333,Employee_333,78360,839,8
334,Employee_334,122018,915,9
335,Employee_335,42200,181,18
336,Employee_336,108497,873,3
337,Employee_337,86975,85,17
338,Employee_338,61357,466,20
339,Employee_339,117505,925,15
340,Employee_340,42869,52,17
341,Employee_341,101135,859,8
342,Employee_342,90108,866,2
343,Employee_343,134179,234,17
344,Employee_344,130272,958,18
345,Employee_345,78467,778,5
346,Employee_346,63328,798,9
347,Employee_347,131412,432,9
348,Employee_348,126831,495,2
349,Employee_349,43987,998,2
350,Employee_350,98871,99,19
351,Employee_351,62399,989,3
352,Employee_352,86214,598,17
353,Employee_353,139522,402,14
354,Employee_354,126416,395,14
355,Employee_355,110271,526,14
356,Employee_356,84064,414,6
357,Employee_357,110091,938,3
358,Employee_358,147450,612,1
359,Employee_359,80818,676,16
360,Employee_360,85525,462,4
361,Employee_361,59830,540,1
362,Employee_362,57429,625,17
363,Employee_363,46893,618,18
364,Employee_364,119909,921,8
365,Employee_365,87333,363,2
366,Employee_366,43436,129,18
367,Employee_367,114290,83,16
368,Employee_368,116213,270,10
369,Employee_369,45895,243,8
370,Employee_370,59738,387,12
371,Employee_371,70746,213,16
372,Employee_372,89377,817,12
373,Employee_373,88404,165,11
374,Employee_374,94045,790,20
375,Employee_375,137888,58,19
376,Employee_376,79790,601,1
377,Employee_377,147455,882,3
378,Employee_378,45600,842,12
379,Employee_379,134660,923,9
380,Employee_380,133179,503,5
381,Employee_381,80764,705,1
382,Employee_382,114543,122,10
383,Employee_383,85714,647,17
384,Employee_384,96835,412,4
385,Employee_385,142946,138,15
386,Employee_386,149616,228,19
387,Employee_387,145983,273,8
388,Employee_388,113744,438,15
389,Employee_389,96491,561,7
390,Employee_390,58589,909,15
391,Employee_391,83484,117,8
392,Employee_392,122989,713,10
393,Employee_393,76212,994,18
394,Employee_394,83525,904,4
395,Employee_395,87202,482,15
396,Employee_396,72635,394,11
397,Employee_397,103208,702,3
398,Employee_398,73828,875,15
399,Employee_399,58711,459,3
400,Employee_400,43420,834,15
401,Employee_401,136752,692,6
402,Employee_402,40301,934,1
403,Employee_403,85236,77,14
404,Employee_404,106235,951,16
405,Employee_405,94240,411,1
406,Employee_406,105726,74,17
407,Employee_407,50492,294,8
408,Employee_408,141279,792,18
409,Employee_409,46102,20,16
410,Employee_410,90336,905,6
411,Employee_411,125314,170,10
412,Employee_412,66641,14,10
413,Employee_413,74584,210,5
414,Employee_414,72745,559,12
415,Employee_415,63093,85,20
416,Employee_416,106105,148,17
417,Employee_417,143746,699,14
418,Employee_418,140199,371,14
419,Employee_419,91885,479,3
420,Employee_420,76631,817,12
421,Employee_421,112991,150,20
422,Employee_422,44014,140,18
423,Employee_423,51093,68,12
424,Employee_424,58070,259,2
425,Employee_425,75777,987,2
426,Employee_426,96958,845,17
427,Employee_427,122074,967,10
428,Employee_428,50729,520,18
429,Employee_429,139713,632,19
430,Employee_430,85017,370,1
431,Employee_431,106320,418,4
432,Employee_432,67751,100,4
433,Employee_433,146400,660,2
434,Employee_434,145864,953,19
435,Employee_435,118069,657,12
436,Employee_436,145647,864,10
437,Employee_437,145510,967,13
438,Employee_438,94748,242,20
439,Employee_439,45801,752,15
440,Employee_440,59190,511,3
441,Employee_441,89689,848,20
442,Employee_442,144290,554,13
443,Employee_443,90993,94,8
444,Employee_444,69592,225,7
445,Employee_445,50647,517,8
446,Employee_446,48716,213,18
447,Employee_447,128891,717,9
448,Employee_448,127545,66,6
449,Employee_449,129912,395,4
450,Employee_450,110316,611,15
451,Employee_451,42368,11,5
452,Employee_452,117575,236,5
453,Employee_453,46655,833,7
454,Employee_454,146477,769,9
455,Employee_455,110031,398,7
456,Employee_456,116429,406,9
457,Employee_457,131083,924,20
458,Employee_458,127922,848,10
459,Employee_459,95766,479,4
460,Employee_460,53403,646,6
461,Employee_461,72097,221,14
462,Employee_462,118657,155,9
463,Employee_463,50966,653,1
464,Employee_464,139157,427,17
465,Employee_465,133848,157,13
466,Employee_466,92921,976,7
467,Employee_467,89726,415,9
468,Employee_468,90300,325,11
469,Employee_469,62677,370,3
470,Employee_470,95609,343,12
471,Employee_471,136825,261,3
472,Employee_472,96661,282,15
473,Employee_473,71024,849,10
474,Employee_474,148211,855,1
475,Employee_475,110313,228,14
476,Employee_476,93006,887,20
477,Employee_477,135285,279,6
478,Employee_478,55338,869,2
479,Employee_479,108027,289,8
480,Employee_480,132772,679,1
481,Employee_481,120135,46,4
482,Employee_482,59508,974,4
483,Employee_483,43051,714,5
484,Employee_484,88747,213,20
485,Employee_485,127142,757,9
486,Employee_486,127235,23,13
487,Employee_487,94021,320,18
488,Employee_488,106412,273,17
489,Employee_489,98335,555,1
490,Employee_490,96179,843,15
491,Employee_491,72093,312,2
492,Employee_492,109678,362,16
493,Employee_493,120738,667,20
494,Employee_494,79734,999,5
495,Employee_495,112615,379,19
496,Employee_496,113523,710,5
497,Employee_497,145103,918,2
498,Employee_498,134476,980,7
499,Employee_499,142769,673,3
500,Employee_500,57019,906,17
501,Employee_501,123613,469,3
502,Employee_502,131794,745,13
503,Employee_503,126672,674,7
504,Employee_504,113847,115,3
505,Employee_505,122750,604,15
506,Employee_506,119634,41,18
507,Employee_507,68251,795,10
508,Employee_508,143481,378,7
509,Employee_509,65945,721,9
510,Employee_510,130852,205,5
511,Employee_511,72217,465,20
512,Employee_512,48308,731,8
513,Employee_513,45949,279,14
514,Employee_514,91990,647,4
515,Employee_515,41150,617,20
516,Employee_516,129480,117,14
517,Employee_517,140235,236,12
518,Employee_518,114740,308,2
519,Employee_519,106617,455,13
520,Employee_520,134841,899,1
521,Employee_521,56896,474,20
522,Employee_522,86175,99,7
523,Employee_523,47805,260,9
524,Employee_524,45237,992,17
525,Employee_525,60056,304,13
526,Employee_526,85543,353,10
527,Employee_527,96556,285,16
528,Employee_528,43343,327,6
529,Employee_529,53500,102,16
530,Employee_530,93222,62,11
531,Employee_531,69375,686,20
532,Employee_532,49662,281,3
533,Employee_533,56964,440,9
534,Employee_534,99638,292,15
535,Employee_535,113666,737,13
536,Employee_536,125067,6,10
537,Employee_537,107215,638,20
538,Employee_538,109042,935,13
539,Employee_539,53284,91,17
540,Employee_540,112789,934,7
541,Employee_541,124664,189,6
542,Employee_542,133468,870,13
543,Employee_543,101389,475,17
544,Employee_544,49435,510,15
545,Employee_545,94340,461,4
546,Employee_546,84078,52,15
547,Employee_547,118832,753,14
548,Employee_548,91293,485,11
549,Employee_549,135981,643,4
550,Employee_550,118781,489,3
551,Employee_551,100403,977,2
552,Employee_552,69124,363,20
553,Employee_553,135435,111,10
554,Employee_554,83919,408,13
555,Employee_555,148761,6,20
556,Employee_556,75247,741,18
557,Employee_557,134758,667,16
558,Employee_558,131747,196,11
559,Employee_559,102752,834,10
560,Employee_560,96573,875,9
561,Employee_561,99101,734,12
562,Employee_562,142756,366,19
563,Employee_563,66646,249,1
564,Employee_564,144185,915,18
565,Employee_565,63049,594,14
566,Employee_566,119605,239,1
567,Employee_567,138116,379,17
568,Employee_568,137379,906,11
569,Employee_569,108385,871,20
570,Employee_570,80158,834,15
571,Employee_571,105417,470,4
572,Employee_572,63289,774,15
573,Employee_573,140793,918,14
574,Employee_574,49823,700,1
575,Employee_575,100160,454,9
576,Employee_576,81975,365,7
577,Employee_577,49540,289,11
578,Employee_578,56364,873,2
579,Employee_579,44611,402,2
580,Employee_580,67663,57,6
581,Employee_581,91991,520,19
582,Employee_582,97679,303,20
583,Employee_583,144182,114,14
584,Employee_584,70977,209,3
585,Employee_585,134704,40,7
586,Employee_586,89115,815,7
587,Employee_587,131007,172,4
588,Employee_588,128223,233,5
589,Employee_589,100890,792,17
590,Employee_590,106387,883,4
591,Employee_591,58071,589,13
592,Employee_592,99275,619,16
593,Employee_593,112369,792,16
594,Employee_594,51938,402,2
595,Employee_595,75195,38,18
596,Employee_596,131680,118,1
597,Employee_597,44000,334,18
598,Employee_598,110588,335,8
599,Employee_599,141042,538,11
600,Employee_600,133610,615,15
601,Employee_601,143691,73,16
602,Employee_602,146306,190,17
603,Employee_603,137856,323,17
604,Employee_604,78304,146,12
605,Employee_605,109449,766,10
606,Employee_606,122986,283,20
607,Employee_607,129643,212,6
608,Employee_608,60764,634,8
609,Employee_609,148940,717,13
610,Employee_610,126027,928,2
611,Employee_611,78494,751,19
612,Employee_612,43373,393,10
613,Employee_613,52161,338,4
614,Employee_614,137532,797,12
615,Employee_615,132658,21,18
616,Employee_616,140386,770,7
617,Employee_617,67350,868,20
618,Employee_618,133008,104,4
619,Employee_619,134297,465,7
620,Employee_620,65351,458,10
621,Employee_621,128668,431,15
622,Employee_622,55305,769,12
623,Employee_623,115353,715,1
624,Employee_624,116797,821,20
625,Employee_625,105953,773,18
626,Employee_626,97458,618,16
627,Employee_627,147112,762,5
628,Employee_628,60358,935,19
629,Employee_629,43267,220,4
630,Employee_630,122745,378,6
631,Employee_631,129588,221,17
632,Employee_632,78513,257,7
633,Employee_633,66092,712,7
634,Employee_634,51338,366,9
635,Employee_635,40412,769,13
636,Employee_636,47543,348,20
637,Employee_637,145891,224,14
638,Employee_638,73496,713,16
639,Employee_639,100692,737,9
640,Employee_640,129084,235,15
641,Employee_641,132920,182,5
642,Employee_642,84425,711,18
643,Employee_643,78756,868,20
644,Employee_644,58888,757,8
645,Employee_645,75735,443,15
646,Employee_646,87295,864,9
647,Employee_647,123042,622,19
648,Employee_648,125999,5,6
649,Employee_649,57955,235,4
650,Employee_650,77841,126,11
651,Employee_651,110640,103,10
652,Employee_652,105510,748,3
653,Employee_653,74911,914,1
654,Employee_654,99031,479,12
655,Employee_655,128726,154,15
656,Employee_656,47357,256,15
657,Employee_657,72479,234,14
658,Employee_658,101476,499,7
659,Employee_659,84811,288,17
660,Employee_660,76208,509,19
661,Employee_661,60150,551,7
662,Employee_662,111180,799,3
663,Employee_663,83286,708,3
664,Employee_664,108450,784,18
665,Employee_665,61352,893,20
666,Employee_666,95069,775,14
667,Employee_667,54397,568,3
668,Employee_668,81555,297,7
669,Employee_669,86959,609,7
670,Employee_670,40728,136,5
671,Employee_671,90517,375,3
672,Employee_672,106234,86,18
673,Employee_673,79954,418,15
674,Employee_674,87280,753,20
675,Employee_675,119459,198,14
676,Employee_676,56779,462,4
677,Employee_677,103932,436,8
678,Employee_678,112936,309,13
679,Employee_679,64466,595,8
680,Employee_680,76939,753,15
681,Employee_681,109896,280,17
682,Employee_682,75270,322,5
683,Employee_683,99163,763,20
684,Employee_684,122637,701,4
685,Employee_685,91934,950,11
686,Employee_686,104895,941,18
687,Employee_687,72307,151,10
688,Employee_688,94098,993,17
689,Employee_689,100921,301,15
690,Employee_690,45486,277,6
691,Employee_691,48335,650,16
692,Employee_692,126900,687,15
693,Employee_693,142795,7,8
694,Employee_694,129112,806,9
695,Employee_695,137203,234,11
696,Employee_696,51130,674,2
697,Employee_697,127508,560,13
698,Employee_698,145955,301,4
699,Employee_699,100566,37,9
700,Employee_700,106703,135,5
701,Employee_701,67192,821,19
702,Employee_702,41062,420,3
703,Employee_703,124076,218,3
704,Employee_704,129780,347,6
705,Employee_705,61545,807,10
706,Employee_706,61689,545,5
707,Employee_707,51174,863,3
708,Employee_708,128461,78,7
709,Employee_709,143033,747,18
710,Employee_710,49348,894,8
711,Employee_711,63714,272,1
712,Employee_712,78102,160,4
713,Employee_713,114460,686,7
714,Employee_714,142634,877,14
715,Employee_715,129930,307,13
716,Employee_716,46801,373,10
717,Employee_717,143150,975,18
718,Employee_718,112267,732,1
719,Employee_719,88136,8,4
720,Employee_720,63625,800,16
721,Employee_721,122873,443,16
722,Employee_722,140843,112,18
723,Employee_723,112592,988,8
724,Employee_724,117052,204,10
725,Employee_725,84261,404,16
726,Employee_726,41542,697,11
727,Employee_727,61677,852,6
728,Employee_728,86732,196,1
729,Employee_729,90343,777,12
730,Employee_730,79081,773,6
731,Employee_731,102856,759,13
732,Employee_732,133105,114,17
733,Employee_733,128858,120,1
734,Employee_734,59065,652,8
735,Employee_735,123460,64,8
736,Employee_736,128092,275,11
737,Employee_737,94693,824,14
738,Employee_738,66962,238,10
739,Employee_739,68295,301,15
740,Employee_740,53807,391,7
741,Employee_741,82348,521,7
742,Employee_742,66432,968,10
743,Employee_743,123285,368,4
744,Employee_744,146995,232,18
745,Employee_745,131792,194,10
746,Employee_746,97854,906,19
747,Employee_747,80262,11,14
748,Employee_748,77080,905,13
749,Employee_749,41324,920,15
750,Employee_750,131267,688,16
751,Employee_751,75909,176,2
752,Employee_752,129339,216,4
753,Employee_753,59870,10,18
754,Employee_754,74578,445,17
755,Employee_755,112124,629,10
756,Employee_756,143605,163,9
757,Employee_757,66790,550,15
758,Employee_758,65289,52,12
759,Employee_759,95129,217,9
760,Employee_760,133714,717,14
761,Employee_761,134246,998,13
762,Employee_762,55485,823,6
763,Employee_763,84482,359,19
764,Employee_764,126188,384,4
765,Employee_765,44748,55,20
766,Employee_766,126769,117,17
767,Employee_767,49435,899,19
768,Employee_768,43709,252,3
769,Employee_769,70355,797,14
770,Employee_770,95771,779,17
771,Employee_771,97799,802,13
772,Employee_772,53116,844,9
773,Employee_773,65470,179,1
774,Employee_774,82344,414,17
775,Employee_775,82918,869,16
776,Employee_776,92224,234,18
777,Employee_777,79298,854,2
778,Employee_778,148492,707,14
779,Employee_779,120219,819,17
780,Employee_780,101629,79,3
781,Employee_781,106040,646,2
782,Employee_782,139518,21,8
783,Employee_783,139835,476,2
784,Employee_784,68016,842,2
785,Employee_785,63960,439,9
786,Employee_786,73591,736,20
787,Employee_787,122848,569,6
788,Employee_788,143333,92,12
789,Employee_789,107641,191,9
790,Employee_790,76395,102,7
791,Employee_791,62700,395,12
792,Employee_792,74620,6,5
793,Employee_793,143214,639,16
794,Employee_794,60559,566,5
795,Employee_795,133045,230,12
796,Employee_796,133396,873,20
797,Employee_797,101642,573,9
798,Employee_798,116539,239,7
799,Employee_799,61732,89,19
800,Employee_800,131362,231,20
801,Employee_801,70354,456,11
802,Employee_802,53843,232,12
803,Employee_803,111726,353,3
804,Employee_804,57640,332,17
805,Employee_805,92528,438,7
806,Employee_806,78413,374,10
807,Employee_807,92638,291,15
808,Employee_808,92736,344,2
809,Employee_809,147892,663,13
810,Employee_810,146357,427,4
811,Employee_811,108866,656,18
812,Employee_812,59087,129,1
813,Employee_813,81430,140,2
814,Employee_814,64504,414,2
815,Employee_815,47114,92,4
816,Employee_816,118859,625,3
817,Employee_817,139657,283,17
818,Employee_818,50975,955,14
819,Employee_819,51023,922,2
820,Employee_820,61447,654,16
821,Employee_821,130469,222,11
822,Employee_822,63959,743,13
823,Employee_823,106203,462,1
824,Employee_824,69703,544,2
825,Employee_825,49337,275,2
826,Employee_826,86427,681,5
827,Employee_827,101529,139,4
828,Employee_828,142023,356,12
829,Employee_829,124665,712,3
830,Employee_830,145787,22,20
831,Employee_831,71921,967,10
832,Employee_832,73307,735,20
833,Employee_833,67355,879,18
834,Employee_834,143268,269,10
835,Employee_835,44835,858,1
836,Employee_836,60159,664,6
837,Employee_837,144346,332,11
838,Employee_838,87605,84,2
839,Employee_839,145616,620,7
840,Employee_840,78088,30,20
841,Employee_841,118752,740,18
842,Employee_842,95284,239,19
843,Employee_843,97043,889,4
844,Employee_844,75547,362,13
845,Employee_845,137007,821,18
846,Employee_846,122844,388,20
847,Employee_847,67532,652,13
848,Employee_848,74349,667,19
849,Employee_849,85445,298,17
850,Employee_850,45713,856,1
851,Employee_851,96178,370,6
852,Employee_852,89407,98,19
853,Employee_853,110340,46,20
854,Employee_854,90990,998,1
855,Employee_855,115672,838,8
856,Employee_856,105545,421,17
857,Employee_857,124791,479,15
858,Employee_858,98141,578,18
859,Employee_859,63793,61,7
860,Employee_860,96570,108,16
861,Employee_861,135084,678,7
862,Employee_862,77892,548,17
863,Employee_863,41015,118,4
864,Employee_864,101813,597,12
865,Employee_865,67712,381,13
866,Employee_866,140497,391,4
867,Employee_867,48415,976,1
868,Employee_868,102292,51,1
869,Employee_869,63833,602,7
870,Employee_870,44158,288,9
871,Employee_871,102680,336,1
872,Employee_872,60309,809,16
873,Employee_873,46970,203,18
874,Employee_874,112474,879,15
875,Employee_875,126704,237,6
876,Employee_876,86540,381,2
877,Employee_877,60384,666,9
878,Employee_878,58017,751,4
879,Employee_879,115880,135,13
880,Employee_880,145570,406,11
881,Employee_881,48702,507,13
882,Employee_882,40384,361,11
883,Employee_883,40404,380,19
884,Employee_884,80943,880,8
885,Employee_885,87926,575,7
886,Employee_886,69189,634,16
887,Employee_887,52763,253,3
888,Employee_888,58384,476,17
889,Employee_889,100100,113,18
890,Employee_890,138142,19,15
891,Employee_891,49860,527,17
892,Employee_892,144293,144,11
893,Employee_893,120642,207,5
894,Employee_894,90612,530,16
895,Employee_895,63574,375,15
896,Employee_896,63524,503,10
897,Employee_897,109172,903,14
898,Employee_898,50916,165,2
899,Employee_899,44809,549,16
900,Employee_900,72201,180,19
901,Employee_901,93330,860,8
902,Employee_902,53456,616,15
903,Employee_903,96397,611,10
904,Employee_904,78765,601,5
905,Employee_905,74816,926,20
906,Employee_906,85106,811,16
907,Employee_907,93932,443,12
908,Employee_908,57100,331,13
909,Employee_909,97091,502,9
910,Employee_910,61949,912,17
911,Employee_911,110080,78,20
912,Employee_912,77744,584,12
913,Employee_913,85543,934,5
914,Employee_914,148319,937,12
915,Employee_915,132193,687,1
916,Employee_916,76187,395,20
917,Employee_917,47239,607,16
918,Employee_918,54489,856,12
919,Employee_919,98017,102,9
920,Employee_920,101877,401,13
921,Employee_921,83125,974,17
922,Employee_922,89922,223,17
923,Employee_923,134074,517,4
924,Employee_924,72049,633,14
925,Employee_925,77131,235,19
926,Employee_926,82944,426,7
927,Employee_927,113963,115,3
928,Employee_928,146884,162,1
929,Employee_929,64285,225,12
930,Employee_930,77626,229,15
